link,t,x,delta_t,delta_x,q,k,v
link1,0,0.0,120,100.0,0.7708333333333333,0.05260416666666667,14.653465346534652
link1,0,100.0,120,100.0,0.7395833333333333,0.03697916666666667,19.999999999999996
link1,0,200.0,120,100.0,0.7083333333333333,0.035416666666666666,20.0
link1,0,300.0,120,100.0,0.6666666666666667,0.03333333333333333,20.000000000000004
link1,0,400.0,120,100.0,0.6354166666666666,0.03177083333333333,20.0
link1,0,500.0,120,100.0,0.6041666666666666,0.030208333333333334,20.0
link1,0,600.0,120,100.0,0.5729166666666666,0.028645833333333336,19.999999999999996
link1,0,700.0,120,100.0,0.5416666666666666,0.027083333333333334,19.999999999999996
link1,0,800.0,120,100.0,0.48958333333333337,0.027083333333333334,18.076923076923077
link1,0,900.0,120,100.0,0.35416666666666663,0.0421875,8.39506172839506
link1,120,0.0,120,100.0,0.8020833333333333,0.0546875,14.666666666666666
link1,120,100.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,120,200.0,120,100.0,0.78125,0.04166666666666667,18.749999999999996
link1,120,300.0,120,100.0,0.6875,0.059375,11.578947368421053
link1,120,400.0,120,100.0,0.5833333333333334,0.08125,7.17948717948718
link1,120,500.0,120,100.0,0.5833333333333334,0.08333333333333334,7.0
link1,120,600.0,120,100.0,0.5833333333333334,0.08333333333333334,7.0
link1,120,700.0,120,100.0,0.5729166666666666,0.084375,6.7901234567901225
link1,120,800.0,120,100.0,0.48958333333333337,0.09895833333333334,4.947368421052632
link1,120,900.0,120,100.0,0.48958333333333337,0.103125,4.747474747474748
link1,240,0.0,120,100.0,0.5833333333333334,0.08125,7.17948717948718
link1,240,100.0,120,100.0,0.5729166666666666,0.084375,6.7901234567901225
link1,240,200.0,120,100.0,0.48958333333333337,0.09895833333333334,4.947368421052632
link1,240,300.0,120,100.0,0.48958333333333337,0.10364583333333334,4.723618090452262
link1,240,400.0,120,100.0,0.59375,0.08385416666666666,7.080745341614907
link1,240,500.0,120,100.0,0.59375,0.08177083333333333,7.261146496815287
link1,240,600.0,120,100.0,0.5833333333333334,0.0828125,7.0440251572327055
link1,240,700.0,120,100.0,0.48958333333333337,0.09791666666666667,5.0
link1,240,800.0,120,100.0,0.48958333333333337,0.10364583333333334,4.723618090452262
link1,240,900.0,120,100.0,0.59375,0.08333333333333334,7.124999999999999
link1,360,0.0,120,100.0,0.5833333333333334,0.08125,7.17948717948718
link1,360,100.0,120,100.0,0.48958333333333337,0.09791666666666667,5.0
link1,360,200.0,120,100.0,0.48958333333333337,0.10364583333333334,4.723618090452262
link1,360,300.0,120,100.0,0.59375,0.08385416666666666,7.080745341614907
link1,360,400.0,120,100.0,0.59375,0.08177083333333333,7.261146496815287
link1,360,500.0,120,100.0,0.5833333333333334,0.0828125,7.0440251572327055
link1,360,600.0,120,100.0,0.48958333333333337,0.09791666666666667,5.0
link1,360,700.0,120,100.0,0.48958333333333337,0.10364583333333334,4.723618090452262
link1,360,800.0,120,100.0,0.59375,0.08385416666666666,7.080745341614907
link1,360,900.0,120,100.0,0.59375,0.08125,7.3076923076923075
link1,480,0.0,120,100.0,0.48958333333333337,0.09375,5.222222222222222
link1,480,100.0,120,100.0,0.48958333333333337,0.10364583333333334,4.723618090452262
link1,480,200.0,120,100.0,0.59375,0.08385416666666666,7.080745341614907
link1,480,300.0,120,100.0,0.59375,0.08177083333333333,7.261146496815287
link1,480,400.0,120,100.0,0.5833333333333334,0.0828125,7.0440251572327055
link1,480,500.0,120,100.0,0.48958333333333337,0.09791666666666667,5.0
link1,480,600.0,120,100.0,0.48958333333333337,0.10364583333333334,4.723618090452262
link1,480,700.0,120,100.0,0.59375,0.084375,7.037037037037036
link1,480,800.0,120,100.0,0.5416666666666666,0.08958333333333333,6.046511627906976
link1,480,900.0,120,100.0,0.4375,0.10885416666666665,4.019138755980862
link1,600,0.0,120,100.0,0.48958333333333337,0.09114583333333334,5.371428571428571
link1,600,100.0,120,100.0,0.59375,0.084375,7.037037037037036
link1,600,200.0,120,100.0,0.5416666666666666,0.08958333333333333,6.046511627906976
link1,600,300.0,120,100.0,0.4375,0.10989583333333335,3.9810426540284354
link1,600,400.0,120,100.0,0.32291666666666663,0.13125,2.46031746031746
link1,600,500.0,120,100.0,0.2916666666666667,0.14166666666666666,2.058823529411765
link1,600,600.0,120,100.0,0.2708333333333333,0.14635416666666667,1.8505338078291813
link1,600,700.0,120,100.0,0.16666666666666669,0.16197916666666667,1.0289389067524117
link1,600,800.0,120,100.0,0.10416666666666666,0.17916666666666667,0.5813953488372092
link1,600,900.0,120,100.0,0.09375,0.17916666666666667,0.5232558139534884
link1,720,0.0,120,100.0,0.2708333333333333,0.12135416666666667,2.2317596566523603
link1,720,100.0,120,100.0,0.16666666666666669,0.16197916666666667,1.0289389067524117
link1,720,200.0,120,100.0,0.10416666666666666,0.17916666666666667,0.5813953488372092
link1,720,300.0,120,100.0,0.09375,0.17916666666666667,0.5232558139534884
link1,720,400.0,120,100.0,0.08333333333333334,0.18333333333333332,0.45454545454545464
link1,720,500.0,120,100.0,0.09375,0.18333333333333332,0.5113636363636364
link1,720,600.0,120,100.0,0.11458333333333334,0.175,0.6547619047619049
link1,720,700.0,120,100.0,0.08333333333333334,0.18333333333333332,0.45454545454545464
link1,720,800.0,120,100.0,0.0625,0.18541666666666667,0.33707865168539325
link1,720,900.0,120,100.0,0.05208333333333333,0.19166666666666668,0.27173913043478254
link1,840,0.0,120,100.0,0.11458333333333334,0.1375,0.8333333333333334
link1,840,100.0,120,100.0,0.08333333333333334,0.18333333333333332,0.45454545454545464
link1,840,200.0,120,100.0,0.0625,0.18541666666666667,0.33707865168539325
link1,840,300.0,120,100.0,0.05208333333333333,0.19166666666666668,0.27173913043478254
link1,840,400.0,120,100.0,0.08333333333333334,0.18333333333333332,0.45454545454545464
link1,840,500.0,120,100.0,0.10416666666666666,0.17916666666666667,0.5813953488372092
link1,840,600.0,120,100.0,0.11458333333333334,0.17916666666666667,0.6395348837209303
link1,840,700.0,120,100.0,0.125,0.175,0.7142857142857143
link1,840,800.0,120,100.0,0.125,0.175,0.7142857142857143
link1,840,900.0,120,100.0,0.14583333333333334,0.17135416666666667,0.851063829787234
link1,960,0.0,120,100.0,0.11458333333333334,0.1375,0.8333333333333334
link1,960,100.0,120,100.0,0.125,0.175,0.7142857142857143
link1,960,200.0,120,100.0,0.125,0.175,0.7142857142857143
link1,960,300.0,120,100.0,0.14583333333333334,0.171875,0.8484848484848485
link1,960,400.0,120,100.0,0.16666666666666669,0.16666666666666669,1.0
link1,960,500.0,120,100.0,0.17708333333333331,0.16458333333333333,1.0759493670886076
link1,960,600.0,120,100.0,0.13541666666666666,0.1708333333333333,0.7926829268292683
link1,960,700.0,120,100.0,0.125,0.175,0.7142857142857143
link1,960,800.0,120,100.0,0.13541666666666666,0.17395833333333333,0.7784431137724551
link1,960,900.0,120,100.0,0.17708333333333331,0.1630208333333333,1.086261980830671
link1,1080,0.0,120,100.0,0.13541666666666666,0.13020833333333334,1.0399999999999998
link1,1080,100.0,120,100.0,0.125,0.16666666666666669,0.7499999999999999
link1,1080,200.0,120,100.0,0.125,0.16666666666666669,0.7499999999999999
link1,1080,300.0,120,100.0,0.16666666666666669,0.15833333333333333,1.0526315789473686
link1,1080,400.0,120,100.0,0.15625,0.16354166666666667,0.9554140127388535
link1,1080,500.0,120,100.0,0.16666666666666669,0.15625,1.0666666666666669
link1,1080,600.0,120,100.0,0.16666666666666669,0.15833333333333333,1.0526315789473686
link1,1080,700.0,120,100.0,0.16666666666666669,0.15833333333333333,1.0526315789473686
link1,1080,800.0,120,100.0,0.21875,0.15104166666666666,1.4482758620689655
link1,1080,900.0,120,100.0,0.2708333333333333,0.14114583333333333,1.918819188191882
link2,0,0.0,120,100.0,0.0,0.0,20.0
