orig,dest,total_trips,completed_trips,free_travel_time,average_travel_time,stddiv_travel_time,shortest_distance,average_distance_traveled_per_veh,stddiv_distance_traveled_per_veh
orig1,dest,400,375,100.0,167.66666666666666,89.38804294883194,2000.0,2042.1875,169.262820323159
orig2,dest,300,300,100.0,111.5,5.188127472091127,2000.0,2000.0,0.0
