orig,dest,total_trips,completed_trips,free_travel_time,average_travel_time,stddiv_travel_time,shortest_distance,average_distance_traveled_per_veh,stddiv_distance_traveled_per_veh
orig1,dest,400,390,100.0,145.12820512820514,52.672028039596846,2000.0,2012.1875,76.74977096871365
orig2,dest,300,280,100.0,150.17857142857142,30.53049245242787,2000.0,2045.0,178.87379163346802
