link,t,x,delta_t,delta_x,q,k,v
link1,0,0.0,120,100.0,0.7708333333333333,0.05260416666666667,14.653465346534652
link1,0,100.0,120,100.0,0.7395833333333333,0.03697916666666667,19.999999999999996
link1,0,200.0,120,100.0,0.7083333333333333,0.035416666666666666,20.0
link1,0,300.0,120,100.0,0.6666666666666667,0.03333333333333333,20.000000000000004
link1,0,400.0,120,100.0,0.6354166666666666,0.03177083333333333,20.0
link1,0,500.0,120,100.0,0.6041666666666666,0.030208333333333334,20.0
link1,0,600.0,120,100.0,0.5729166666666666,0.028645833333333336,19.999999999999996
link1,0,700.0,120,100.0,0.5416666666666666,0.027083333333333334,19.999999999999996
link1,0,800.0,120,100.0,0.5,0.025,20.0
link1,0,900.0,120,100.0,0.46875,0.0234375,20.0
link1,120,0.0,120,100.0,0.8020833333333333,0.0546875,14.666666666666666
link1,120,100.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,120,200.0,120,100.0,0.7916666666666667,0.03958333333333333,20.000000000000004
link1,120,300.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,120,400.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,120,500.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,120,600.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,120,700.0,120,100.0,0.7916666666666667,0.03958333333333333,20.000000000000004
link1,120,800.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,120,900.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,240,0.0,120,100.0,0.8020833333333333,0.05520833333333333,14.528301886792452
link1,240,100.0,120,100.0,0.7916666666666667,0.03958333333333333,20.000000000000004
link1,240,200.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,240,300.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,240,400.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,240,500.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,240,600.0,120,100.0,0.7916666666666667,0.03958333333333333,20.000000000000004
link1,240,700.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,240,800.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,240,900.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,360,0.0,120,100.0,0.7916666666666667,0.05520833333333333,14.339622641509436
link1,360,100.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,360,200.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,360,300.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,360,400.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,360,500.0,120,100.0,0.7916666666666667,0.03958333333333333,20.000000000000004
link1,360,600.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,360,700.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,360,800.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,360,900.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,480,0.0,120,100.0,0.8020833333333333,0.05572916666666667,14.39252336448598
link1,480,100.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,480,200.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,480,300.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,480,400.0,120,100.0,0.7916666666666667,0.03958333333333333,20.000000000000004
link1,480,500.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,480,600.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,480,700.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,480,800.0,120,100.0,0.7604166666666667,0.04739583333333333,16.043956043956047
link1,480,900.0,120,100.0,0.71875,0.05364583333333333,13.398058252427186
link1,600,0.0,120,100.0,0.8020833333333333,0.05416666666666667,14.807692307692307
link1,600,100.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link1,600,200.0,120,100.0,0.7604166666666667,0.04739583333333333,16.043956043956047
link1,600,300.0,120,100.0,0.71875,0.05416666666666667,13.269230769230768
link1,600,400.0,120,100.0,0.6354166666666666,0.071875,8.840579710144928
link1,600,500.0,120,100.0,0.5833333333333334,0.08489583333333334,6.871165644171779
link1,600,600.0,120,100.0,0.5104166666666666,0.09583333333333334,5.326086956521738
link1,600,700.0,120,100.0,0.42708333333333337,0.11197916666666666,3.8139534883720936
link1,600,800.0,120,100.0,0.42708333333333337,0.11354166666666667,3.7614678899082574
link1,600,900.0,120,100.0,0.375,0.12291666666666666,3.050847457627119
link1,720,0.0,120,100.0,0.5104166666666666,0.09635416666666666,5.297297297297297
link1,720,100.0,120,100.0,0.42708333333333337,0.11197916666666666,3.8139534883720936
link1,720,200.0,120,100.0,0.42708333333333337,0.11354166666666667,3.7614678899082574
link1,720,300.0,120,100.0,0.375,0.12395833333333334,3.0252100840336134
link1,720,400.0,120,100.0,0.41666666666666663,0.11979166666666666,3.4782608695652173
link1,720,500.0,120,100.0,0.39583333333333337,0.11770833333333335,3.3628318584070795
link1,720,600.0,120,100.0,0.38541666666666663,0.12291666666666666,3.135593220338983
link1,720,700.0,120,100.0,0.42708333333333337,0.115625,3.6936936936936937
link1,720,800.0,120,100.0,0.375,0.12395833333333334,3.0252100840336134
link1,720,900.0,120,100.0,0.41666666666666663,0.11822916666666666,3.5242290748898677
link1,840,0.0,120,100.0,0.38541666666666663,0.10833333333333334,3.557692307692307
link1,840,100.0,120,100.0,0.42708333333333337,0.115625,3.6936936936936937
link1,840,200.0,120,100.0,0.375,0.12395833333333334,3.0252100840336134
link1,840,300.0,120,100.0,0.41666666666666663,0.11979166666666666,3.4782608695652173
link1,840,400.0,120,100.0,0.39583333333333337,0.11770833333333335,3.3628318584070795
link1,840,500.0,120,100.0,0.38541666666666663,0.12291666666666666,3.135593220338983
link1,840,600.0,120,100.0,0.42708333333333337,0.115625,3.6936936936936937
link1,840,700.0,120,100.0,0.375,0.12395833333333334,3.0252100840336134
link1,840,800.0,120,100.0,0.41666666666666663,0.11979166666666666,3.4782608695652173
link1,840,900.0,120,100.0,0.39583333333333337,0.11666666666666665,3.3928571428571437
link1,960,0.0,120,100.0,0.42708333333333337,0.103125,4.141414141414142
link1,960,100.0,120,100.0,0.375,0.12395833333333334,3.0252100840336134
link1,960,200.0,120,100.0,0.41666666666666663,0.11979166666666666,3.4782608695652173
link1,960,300.0,120,100.0,0.39583333333333337,0.11770833333333335,3.3628318584070795
link1,960,400.0,120,100.0,0.38541666666666663,0.12291666666666666,3.135593220338983
link1,960,500.0,120,100.0,0.42708333333333337,0.115625,3.6936936936936937
link1,960,600.0,120,100.0,0.375,0.12395833333333334,3.0252100840336134
link1,960,700.0,120,100.0,0.41666666666666663,0.11979166666666666,3.4782608695652173
link1,960,800.0,120,100.0,0.39583333333333337,0.11770833333333335,3.3628318584070795
link1,960,900.0,120,100.0,0.38541666666666663,0.121875,3.1623931623931623
link1,1080,0.0,120,100.0,0.36458333333333337,0.10625,3.431372549019608
link1,1080,100.0,120,100.0,0.38541666666666663,0.115625,3.333333333333333
link1,1080,200.0,120,100.0,0.38541666666666663,0.11145833333333334,3.457943925233644
link1,1080,300.0,120,100.0,0.375,0.11875,3.1578947368421053
link1,1080,400.0,120,100.0,0.40625,0.11145833333333334,3.644859813084112
link1,1080,500.0,120,100.0,0.36458333333333337,0.11770833333333335,3.0973451327433628
link1,1080,600.0,120,100.0,0.38541666666666663,0.115625,3.333333333333333
link1,1080,700.0,120,100.0,0.38541666666666663,0.11145833333333334,3.457943925233644
